Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.8.221.204,Nouvelle-Aquitaine,2020-07-19T21:47:02.820Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,93.8.221.204,Nouvelle-Aquitaine,2020-07-18T21:55:42.098Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.8.221.204,Nouvelle-Aquitaine,2020-07-18T21:55:33.940Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,77.205.116.105,Pays-de-la-Loire,2020-07-18T21:02:46.255Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.8.221.204,Nouvelle-Aquitaine,2020-07-18T20:16:50.067Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.8.221.204,Nouvelle-Aquitaine,2020-07-18T20:16:46.201Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,77.205.116.35,Nouvelle-Aquitaine,2020-07-18T20:16:43.059Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,77.205.116.35,Nouvelle-Aquitaine,2020-07-18T20:16:34.033Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.8.221.204,Nouvelle-Aquitaine,2020-07-18T16:27:13.316Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.30.148.81,Auvergne-Rhône-Alpes,2020-07-17T06:33:13.014Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.30.148.81,Auvergne-Rhône-Alpes,2020-07-13T09:40:22.987Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.11.154.89,Auvergne-Rhône-Alpes,2020-07-12T07:46:01.884Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.158.144.251,Nouvelle-Aquitaine,2020-07-08T18:53:02.031Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,FR,Apple iPhone XR,Apple iPhone XR,93.11.154.89,Auvergne-Rhône-Alpes,2020-07-07T08:20:55.627Z
